,Carbon_Type,Conc_Carbon,Gly_OG,Met_prod,Spec Prod
15022,Lactose,49.05387326727643,0.12401654809946952,8.919414798369367,5.820515835341409
4649,Lactose,48.951731981015925,0.12297231226641532,7.6869049491635355,5.816008372835328
11501,Lactose,49.39723718814989,0.09368858344938003,9.705081923250443,5.809971303444077
13181,Lactose,49.43602998753649,0.5344548828152385,7.176946095202227,5.797379210585419
19413,Lactose,49.37133223289527,0.800366548998941,9.58807942029123,5.7869208792457085
800,Lactose,48.34961157406297,0.7649238641908391,3.796058549624,5.676615782989635
13420,Lactose,49.84407022332087,1.3852708247808687,3.477866983104792,5.666709132358833
11440,Lactose,49.86645366062179,1.3660147103781424,4.274487824118155,5.664904650857798
8941,Lactose,49.119583532301924,1.7691492704118807,4.307831613758697,5.663545919643152
2773,Lactose,48.746297477688174,1.9184915033339127,6.817519879074468,5.59209179142673
11981,Lactose,48.060055946732504,0.8530328930078568,4.896362794937859,5.565372242238709
6811,Lactose,49.55746145011861,2.4482342410504594,8.794353496010638,5.513341260272101
3627,Lactose,48.35397965587986,2.186701546191778,8.358718430931436,5.427383225901769
19037,Lactose,47.478229414605394,0.38775545162793823,3.386301401760608,5.334669871522358
13567,Lactose,48.63212733954202,2.9477820081592916,3.972458224563838,5.295246773834569
14097,Lactose,49.08371513437124,3.304572057344832,0.5862892394820436,5.268449555496078
2483,Lactose,47.68760985269856,1.6999538807934624,8.996344861461788,5.248861124382
8044,Lactose,47.77591948591368,2.1448576159343253,9.57119419756771,5.1901955933423665
16783,Lactose,47.493504031187115,1.6444796321394786,3.947086200681607,5.154120329458021
4688,Lactose,49.95740747242321,3.7590541623012914,0.46657412050794317,5.1391564689540665
2910,Lactose,47.48253441867365,1.770033820472232,1.2950156081902686,5.120521772543844
10538,Lactose,47.422539361731936,1.6476491116650536,2.910693789684438,5.112740297835233
8808,Rhamnose,49.26160534338103,0.08756240362125996,5.626062767099452,5.039969045053759
17465,Lactose,48.59223783863433,3.893161825784895,3.8158759515331955,4.9772784007238995
10568,Rhamnose,49.52095134981007,0.41757012847179453,8.364759840587592,4.9457845222279015
18146,Rhamnose,49.1478440817476,1.3223831614273085,9.418967142187856,4.910447148146243
12206,Rhamnose,49.34148369511619,1.1456849930175328,9.734634513796209,4.899051910286939
12351,Rhamnose,48.588951244381676,1.689024888208949,7.253211770951506,4.892376033032677
33,Lactose,47.828246239318155,3.349190506625969,0.8910394176310032,4.863791542687165
7065,Lactose,47.885866926933254,3.59128795059719,8.684569676818942,4.812873660539623
1012,Lactose,48.866150366208885,4.604111166113988,7.5223729767286756,4.802386303150584
5906,Rhamnose,49.623468730780324,1.3658754825804673,8.278920171933994,4.781769540050053
907,Lactose,46.54777512376084,0.5223082165436258,5.854418295388286,4.7694925465307865
3651,Rhamnose,47.310882902623824,1.3373600452248602,9.580508810888487,4.7219190041496875
19584,Lactose,47.62144341544675,3.54128105064172,9.316328481442431,4.699408093617601
18327,Lactose,49.87933871322866,5.314597234308492,0.8310376062530174,4.676835452970474
1436,Rhamnose,46.873963377580274,0.5653939890895805,2.129239355577785,4.660563123225117
10022,Lactose,46.77520249559287,2.039831746654959,5.738950334186697,4.629192003193053
776,Rhamnose,46.71629942958149,0.26086265834868316,8.215116513114486,4.620626709136373
1738,Lactose,48.678047614325735,5.013695763032823,6.241849135152854,4.61860501002493
19656,Lactose,46.50072553547108,1.4533421003765774,9.74970672934435,4.5859343889550095
17199,Lactose,47.10458791202537,3.1046599344646926,5.848112599228164,4.546395094559422
11319,Rhamnose,49.762623263467454,2.3083550390640672,8.709821591602548,4.539322186671895
17764,Lactose,47.069136515676,3.112591080267676,4.815573917118336,4.5235575332186
1513,Rhamnose,49.45229193516362,2.7435021379877704,6.985570074583871,4.5074322380633705
3948,Lactose,49.88901003551941,5.970157690490562,8.780260086086217,4.480319624296952
19060,Lactose,46.056834422244364,0.5260335464460809,3.2315494717801196,4.469925936361809
16797,Lactose,49.16703248048274,5.777581626804173,7.080077567976142,4.469196591757726
19055,Rhamnose,48.8359437003953,3.1731794706398277,8.874762737947439,4.468568386486115
8674,Rhamnose,47.322532639617066,2.4911051601267666,0.11732457233902648,4.461504520635701
