,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Mannitol,10.193518518518516,9.973333333333333,2.966666666666667
1,Glucose,15.599999999999994,4.079999999999999,5.233333333333333
2,Mannose,48.82871794871795,0.56,0.766666666666666
3,Pyruvate,23.023466666666664,5.706666666666668,2.6
4,D-Arabinose,6.915263157894735,7.306666666666666,1.8
5,Rhamnose,49.73333333333334,1.893333333333333,7.0
6,Lactose,48.35,1.7599999999999998,6.9
7,Trehalose,42.8,6.48,7.2
8,Succinate,37.14222222222222,6.693333333333334,2.666666666666666
9,Glycerol ,4.266666666666667,5.973333333333334,1.4333333333333333
10,Ethanol,18.0,3.733333333333333,4.033333333333333
