,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,28.840063992837017,3.764602891560678,7.693750035613775,2.2931250246614217
1,Exp1,39.89645932636347,4.445474910810872,8.970624950379133,2.3049999462813138
2,Exp2,51.87046059041951,5.299925143529902,9.7868748909235,2.993124953135848
3,Exp3,46.56308429673716,6.7783885234070365,6.874374949038028,2.3306250075250863
4,Exp4,40.71661443657335,5.093001452072913,8.004999995827674,2.4825000638514756
5,Exp5,47.90115345113634,6.179174793630866,7.76187507122755,2.852499994114041
6,Exp6,36.106707397361276,5.667075700515947,6.358749881982803,3.3256249471008776
7,Exp7,20.660383693677087,2.1392432713215195,9.45875001758337,2.4293750027567147
8,Exp8,33.895221604824485,4.546208296157735,7.458750062286853,2.713124916553497
9,Exp9,39.87441076554394,5.432557371627061,7.32875000372529,2.6237500334531068
10,Exp10,11.061359386932821,1.0519113624181813,10.527500134557485,2.371875007301569
11,"BMGY, BMMY + Cells",46.33081399942064,4.804068235030531,9.663124845027923,2.5618750105053185
