,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Lactose,990,64,297
1,Glycerol ,0,105,18
2,Sorbitol,83,158,0
3,Galactose,1000,0,288
4,Ethanol,0,83,0
5,Sucrose,386,23,273
6,Glycerol ,0,124,0
7,Galactose,10,4,3
8,Mannitol,39.5,214,45
9,Rhamnose,375,4,276
10,Lactose,10,8,60
