,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL],Glu_OG [uL],Tween_OG [uL],Glu_Prod [uL],Tween_Prod [uL],pH
0,Mannose,40,11,252,531,34,147,55,5.75
1,Pyruvate,103,357,72,139,26,275,48,6.50
2,Fructose,127,362,154,367,39,131,27,6.00
3,Xylose,133,167,40,160,1,304,26,6.50
4,Galactose,35,133,246,14,8,310,15,6.00
5,Rhamnose,124,49,90,198,33,579,18,6.00
6,Sucrose,332,168,61,43,40,176,47,5.75
7,Lactose,216,327,27,340,41,398,46,6.00
8,Trehalose,111,46,152,200,50,219,57,6.00
9,Glycerol ,12,128,116,266,35,222,5,6.50
10,Sorbitol,0,150,45,0,9,0,21,6.50
