,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL],Glu_OG [uL],Tween_OG [uL],Glu_Prod [uL],Tween_Prod [uL],pH
0,Citrate,233,147,24,376,37,383,7,6.50
1,Sorbitol,26,26,70,492,21,194,30,6.00
2,D-Arabinose,93,302,162,24,15,540,59,6.50
3,Ethanol,79,82,98,241,35,200,7,6.50
4,Sucrose,61,364,0,312,32,432,41,6.00
5,Rhamnose,370,215,65,27,38,159,37,6.00
6,Glucose,12,53,144,545,13,327,3,6.50
7,Sucrose,241,183,115,58,48,103,43,5.75
8,Ethanol,56,175,121,203,35,226,13,6.50
9,Ethanol,47,134,166,305,32,271,2,6.50
10,Rhamnose,366,27,205,266,35,222,5,6.5
