,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod,Glu_OG,Tween_OG,Glu_Prod,Tween_Prod,pH
0,15,0.9092682926829269,0.392,0.08,0.6266666666666667,0.6166666666666667,0.6383333333333333,0.11666666666666667,1.0
1,0,0.15007777777777775,0.06933333333333333,0.23333333333333334,0.82,0.35,0.3233333333333333,0.5,0.9230769230769231
2,9,0.3062473684210526,0.8053333333333335,0.54,0.04,0.25,0.9,0.9833333333333333,1.0
3,18,0.5266666666666666,0.2186666666666667,0.32666666666666666,0.40166666666666667,0.5833333333333334,0.3333333333333333,0.11666666666666667,1.0
4,11,0.15182222222222225,0.9706666666666667,0.0,0.52,0.5333333333333333,0.72,0.6833333333333333,0.9230769230769231
5,10,0.9866666666666667,0.5733333333333334,0.21666666666666667,0.045,0.6333333333333333,0.265,0.6166666666666667,0.9230769230769231
6,3,0.047999999999999994,0.14133333333333334,0.48,0.9083333333333333,0.21666666666666667,0.545,0.05,1.0
7,11,0.5998222222222224,0.48800000000000004,0.38333333333333336,0.09666666666666666,0.8,0.17166666666666666,0.7166666666666667,0.8846153846153846
8,18,0.37333333333333335,0.4666666666666667,0.4033333333333333,0.3383333333333333,0.5833333333333334,0.37666666666666665,0.21666666666666667,1.0
9,18,0.31333333333333335,0.35733333333333334,0.5533333333333333,0.5083333333333333,0.5333333333333333,0.45166666666666666,0.03333333333333333,1.0
10,10,0.976,0.07200000000000001,0.6833333333333333,0.44333333333333336,0.5833333333333334,0.37,0.08333333333333333,1.0
