,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,50,12,46
1,Xylitol,47,4,30
2,Glucose,57,6,12
3,Galactose,48,13,15
4,D-Arabinose,83,14,46
5,Rhamnose,104,12,16
6,Lactose,198,42,16
7,Trehalose,113,18,74
8,Citrate,48,9,38
9,Succinate,18,15,64
10,Glycerol ,7,41,11
