,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.2886111111111111,0.03200000000000001,0.15333333333333332
1,2,0.23835893333333336,0.010666666666666668,0.1
2,3,0.22799999999999998,0.016000000000000004,0.04
3,8,0.04804266666666667,0.034666666666666665,0.05
4,9,0.2733175438596491,0.037333333333333336,0.15333333333333332
5,10,0.2773333333333333,0.03200000000000001,0.05333333333333334
6,12,0.19799999999999998,0.112,0.05333333333333334
7,13,0.30133333333333334,0.048,0.24666666666666667
8,15,0.1873170731707317,0.024,0.12666666666666668
9,16,0.0488,0.04,0.21333333333333335
10,17,0.18666666666666668,0.10933333333333335,0.03666666666666667
