,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,16,0.0547822355,0.322802566,0.15381446860000003
1,12,0.026318082,0.30296791879999996,0.30675191749999997
2,0,0.07356600094,0.3494635316,0.0324149821
3,11,0.016427870600000002,0.20643183050000002,0.28444932359999997
4,0,0.02373876496,0.3032697299,0.3442611449
5,0,0.14495255501999998,0.2864535628,0.1558923081
6,9,0.03313352364,0.35010724940000004,0.07762691640000001
7,0,0.04,0.4,0.06
8,2,0.01858408268,0.33593390069999995,0.2965469309
9,8,0.02018610438,0.3111924557,0.1487283272
10,0,0.8,0.4,0.15
