,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,16,0.05422222222222223,0.3226666666666667,0.15333333333333332
1,12,0.025999999999999995,0.304,0.30666666666666664
2,0,0.07503888888888888,0.3493333333333334,0.03333333333333333
3,11,0.017422222222222224,0.20533333333333334,0.2833333333333333
4,0,0.023088888888888888,0.304,0.3433333333333333
5,0,0.14430555555555555,0.2853333333333334,0.15666666666666668
6,9,0.0329298245614035,0.3493333333333334,0.07666666666666666
7,0,0.04040555555555555,0.4,0.06
8,2,0.02028586666666667,0.336,0.2966666666666667
9,8,0.02001777777777778,0.31200000000000006,0.15
10,0,0.8023388888888888,0.4,0.15
