,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Succinate,20,121,46
1,Lactose,26,114,92
2,Sorbitol,13,131,10
3,Sucrose,7,77,85
4,Sorbitol,4,114,103
5,Sorbitol,25,107,47
6,D-Arabinose,10,131,23
7,Sorbitol,7,150,18
8,Xylitol,4,126,89
9,Galactose,20,117,45
10,Sorbitol,139,150,45
