,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Ribose,49.28196347031964,9.653333333333334,3.233333333333333
1,Rhamnose,36.666666666666664,0.4266666666666661,0.833333333333333
2,Sucrose,46.41777777777778,1.333333333333333,6.933333333333334
3,Xylitol,13.692960000000001,7.813333333333332,2.1
4,Xylitol,40.571733333333334,6.1866666666666665,4.333333333333333
5,D-Arabinose,20.416491228070175,3.493333333333334,9.633333333333335
6,Xylose,10.05535714285714,7.359999999999999,1.033333333333333
7,Xylose,6.033214285714285,8.4,7.2
8,Glucose,18.799999999999994,6.933333333333334,0.133333333333333
9,Glycerol ,6.4,0.96,5.0
10,Sucrose,17.173333333333336,1.7599999999999998,2.3666666666666663
11,Trehalose,33.86666666666667,0.506666666666666,5.966666666666667
12,Sucrose,18.915555555555557,9.12,8.333333333333334
13,Succinate,11.793333333333331,9.173333333333332,9.233333333333333
14,Succinate,42.29333333333333,4.293333333333333,1.666666666666666
15,D-Arabinose,44.455263157894734,2.853333333333334,3.7666666666666657
16,Glucose,2.599999999999995,2.186666666666667,3.0
17,Mannitol,25.14720833333333,4.613333333333334,9.033333333333331
18,Glucose,23.799999999999997,4.933333333333333,4.766666666666667
19,Mannitol,27.0814537037037,8.026666666666667,5.500000000000001
20,Mannose,41.33794871794872,5.786666666666668,6.1
21,Fructose,1.8015999999999948,5.546666666666666,8.166666666666668
