,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,54.48094357619394,3.750031294204765,14.549375229179846,5.836875081658363
1,Exp1,63.29496976022193,4.516874411596319,14.009375028908252,2.8200000493228434
2,Exp2,41.67300574674681,3.91158245081453,10.659374759197235,3.7975000186264514
3,Exp3,53.215303811348164,4.766315808029012,11.165000215768814,5.313124970197677
4,Exp4,19.76593106546007,2.9126437821816187,6.827500086873769,1.2943750216066836
5,Exp5,36.95484386022855,3.0849061251770347,12.006250300109386,5.069375035017728
6,Exp6,41.81512662659356,2.846651200386942,14.674999654889106,1.8718750184774398
7,Exp7,19.264811678446396,2.0368049769208456,9.480000004768371,3.5393749798089265
8,Exp8,55.40712760420106,4.682959866129194,11.828124985694885,5.2556249281764025
9,Exp9,45.460788480084545,4.8545205885891916,9.364375096410512,4.834999979138374
10,Exp10,32.852405284364885,3.0106426361856142,10.919999980032443,4.809999975040554
11,"BMGY, BMMY + Cells",46.77306194596736,3.6937182778507847,12.698124997913837,2.951249942779541
