,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,1.443055555555555,0.56,1.2333333333333327
1,Xylitol,11.4108,5.226666666666667,2.233333333333333
2,Glucose,1.399999999999995,3.653333333333333,9.4
3,Mannose,0.83230769230769,0.8,9.5
4,Pyruvate,14.800799999999995,9.466666666666669,9.633333333333335
5,Xylose,49.60642857142858,0.4266666666666661,6.533333333333333
6,D-Arabinose,9.714298245614035,8.08,0.36666666666666603
7,Rhamnose,0.0,0.21333333333333304,8.066666666666666
8,Lactose,2.15,0.64,4.933333333333333
9,Citrate,48.585365853658544,0.933333333333333,1.7666666666666662
10,Glycerol ,0.8,0.56,0.233333333333333
