,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,19.47358736276571,2.1605810774988154,9.013125017881393,5.246875059455633
1,Exp1,13.964209880868953,1.611216250634107,8.666875023990869,6.102500014603137
2,Exp2,27.9723323989722,3.414122519018768,8.193124951769908,3.966250003601114
3,Exp3,9.948951179630928,1.4290620173651185,6.961875033229589,5.359374961480498
4,Exp4,70.48119014249008,6.793777072854893,10.374374870806932,5.682500076144933
5,Exp5,28.398158140621348,3.047489536486547,9.318541639149188,5.0845834395289415
6,Exp6,45.9449211632796,4.639436704407487,9.90312490299344,4.929375086575746
7,Exp7,48.16481955150665,5.023710012322919,9.587499961853027,5.377500035464763
8,Exp8,17.60838822704975,1.9371164331932382,9.089999922215938,2.1012499897181987
9,Exp9,59.662296192478394,6.503145608809341,9.174374953508377,4.7437499711662525
10,Exp10,54.65621058163981,6.372508779124022,8.57687489748001,4.277500087991356
11,"BMGY, BMMY + Cells",52.41333800513898,5.992521440401646,8.746458152284225,3.9783334017793335
