,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Mannitol,1.009259259259255,2.586666666666667,4.966666666666666
1,Fructose,2.40213333333333,0.5866666666666661,6.8
2,Mannose,0.5548717948717901,0.373333333333333,3.9
3,Pyruvate,48.04386666666666,3.173333333333333,9.633333333333335
4,Xylitol,15.97512,0.986666666666666,0.033333333333333
5,Galactose,1.100977777777775,2.213333333333333,4.666666666666666
6,Rhamnose,49.73333333333334,2.826666666666667,1.9
7,Trehalose,0.13333333333333,0.8,1.933333333333333
8,Citrate,0.7804878048780449,9.333333333333332,3.6666666666666656
9,Glycerol ,0.266666666666666,2.186666666666667,0.7333333333333331
10,Ethanol,0.33333333333333004,0.45333333333333303,1.2
