,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,48.486666666666665,4.853333333333333,9.566666666666668
1,Mannitol,43.549537037037034,9.893333333333334,0.766666666666666
2,Xylitol,20.53944,9.84,7.266666666666667
3,Glucose,42.99999999999999,0.16,0.666666666666666
4,Mannose,5.27128205128205,9.84,9.266666666666666
5,Galactose,11.310044444444445,0.16,2.933333333333333
6,Rhamnose,41.86666666666667,2.826666666666667,4.633333333333333
7,Lactose,19.449999999999996,9.333333333333332,1.7
8,Ribose,48.42488584474886,3.84,0.0
9,Succinate,0.13555555555555499,4.48,1.066666666666666
10,Ethanol,19.666666666666664,5.626666666666667,10.0
