,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,13,53,20
1,Mannitol,13,48,14
2,Xylitol,8,24,4
3,Pyruvate,18,9,54
4,Xylose,133,5,5
5,D-Arabinose,38,40,6
6,Rhamnose,35,17,1
7,Lactose,85,8,9
8,Succinate,27,14,18
9,Glycerol ,1,6,0
10,Ethanol,36,1,1
