,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.07503888888888888,0.14133333333333334,0.06666666666666667
1,1,0.013120370370370369,0.12800000000000003,0.04666666666666667
2,2,0.04057173333333334,0.06400000000000002,0.013333333333333334
3,5,0.04228799999999999,0.024,0.18
4,7,0.5943833333333334,0.013333333333333334,0.016666666666666666
5,9,0.12513333333333332,0.10666666666666667,0.02
6,10,0.09333333333333334,0.04533333333333334,0.0033333333333333335
7,12,0.08499999999999999,0.021333333333333336,0.03
8,16,0.0732,0.037333333333333336,0.06
9,17,0.02666666666666667,0.016000000000000004,0.0
10,18,0.24,0.002666666666666667,0.0033333333333333335
