,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,13.21984111,52.80975497,20.0574628
1,Mannitol,13.38050499,47.62827914,13.81987626
2,Xylitol,7.97847056,24.46110087,4.471592277
3,Pyruvate,17.55320024,9.159437977,53.71092251
4,Xylose,132.9606985,4.652120689,5.457284831
5,D-Arabinose,38.12301018,40.22277041,6.49266561
6,Rhamnose,34.96440134,17.49129685,1.305491189
7,Lactose,84.84989364,8.021451416,8.598907989
8,Succinate,26.85139601,13.58899028,17.8559108
9,Glycerol ,0.498207546,5.889951352,0.465102325
10,Ethanol,36.41973236,0.952673552,1.049026067
