,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod,Glu_OG,Tween_OG,Glu_Prod,Tween_Prod,pH
0,10,0.22666666666666666,0.3626666666666667,0.49,0.5583333333333333,0.7166666666666667,0.45,0.15,1.0
1,13,0.49066666666666664,0.07466666666666667,0.5733333333333334,0.16833333333333333,0.8666666666666667,0.515,0.75,0.8846153846153846
2,9,0.12842631578947367,0.184,0.72,0.05,0.31666666666666665,0.5533333333333333,0.08333333333333333,0.8846153846153846
3,14,0.5356735159817352,0.20800000000000002,0.66,0.395,0.75,0.3616666666666667,0.7666666666666667,1.0
4,15,0.6517073170731708,0.14666666666666667,0.5966666666666667,0.485,0.75,0.42833333333333334,0.5333333333333333,0.8846153846153846
5,13,0.7653333333333333,0.3146666666666667,0.5066666666666667,0.35,0.6666666666666666,0.2916666666666667,0.7833333333333333,0.9230769230769231
6,8,0.19517333333333334,0.008000000000000002,0.5233333333333333,0.13333333333333333,0.23333333333333334,0.6583333333333333,0.36666666666666664,0.8846153846153846
7,9,0.25026666666666664,0.3973333333333333,0.7533333333333333,0.11666666666666667,0.2,0.3433333333333333,0.18333333333333332,0.9230769230769231
8,14,0.6170958904109589,0.2,0.26666666666666666,0.4166666666666667,0.8333333333333334,0.6016666666666667,0.7166666666666667,0.8846153846153846
9,7,0.1877,0.24266666666666667,0.4033333333333333,0.045,0.23333333333333334,0.44166666666666665,0.4,0.8846153846153846
10,7,0.36646190476190477,0.37600000000000006,0.77,0.21666666666666667,0.18333333333333332,0.42333333333333334,0.11666666666666667,0.9230769230769231
