,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Lactose,230,0,294
1,Glycerol ,0,154,177
2,Sorbitol,2,11,138
3,Galactose,980,353,6
4,Ethanol,0,221,162
5,Sucrose,12,323,3
6,Glycerol ,0,26,282
7,Galactose,10,4,3
8,Mannitol,0,368,27
9,Rhamnose,11.5,0,240
10,Lactose,10,11,150
