,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,21.573653366666665,3.0478206018961704,7.072083307405312,3.0962500069042047
1,Exp1,43.71953393333333,5.274195136640934,8.266666621565818,3.8245833137134704
2,Exp2,54.2983571,6.127687334623876,8.838750015298524,3.248333338002364
3,Exp3,35.30512386666667,3.874849524132003,9.103749968707561,2.907916652013858
4,Exp4,25.57380946666667,4.003065838694385,6.3883333435654635,2.692500002036492
5,Exp5,42.012880599999995,5.110392864506256,8.231666712065538,3.813333340585231
6,Exp6,30.73357713333333,2.787467090963444,11.00499999086062,2.7433332645396393
7,"BMGY, BMMY + Cells",41.59060036666667,3.8856342203871335,10.723333212832609,3.0887500351667403
