,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.11544444444444443,0.41600000000000004,0.7833333333333333
1,2,0.3195024,0.8426666666666667,0.4866666666666667
2,5,0.21143999999999996,0.3146666666666667,0.08333333333333333
3,7,0.33517857142857144,0.6053333333333334,0.4066666666666667
4,8,0.9768675555555556,0.08800000000000001,0.53
5,10,0.96,0.19733333333333333,0.9766666666666667
6,12,0.5599999999999999,0.02666666666666667,0.88
7,13,0.010666666666666666,0.04266666666666667,0.43
8,14,0.021426940639269407,0.2186666666666667,0.7866666666666666
9,17,0.9866666666666667,0.18933333333333335,0.7166666666666667
10,18,0.1,0.6266666666666667,0.18
