,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,20,156,235
1,Xylitol,63,316,146
2,Pyruvate,90,118,25
3,Xylose,75,227,122
4,Galactose,976,33,159
5,Rhamnose,360,74,293
6,Lactose,560,10,264
7,Trehalose,4,16,129
8,Ribose,5,82,236
9,Glycerol ,37,71,215
10,Ethanol,15,235,54
