,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,20.252726884503012,156.2165583700017,235.32739437986152
1,Xylitol,62.75239843730597,315.93718555880895,145.739119129075
2,Pyruvate,89.69500530216013,117.6890279973918,25.24216798094151
3,Xylose,75.22860673395579,226.5214465200227,121.65846510293045
4,Galactose,975.6661743567122,32.67127926849641,159.08344441088633
5,Rhamnose,359.5282516373618,73.97668685886697,293.1916897818232
6,Lactose,560.1658760923507,9.907256483931976,264.4318939502118
7,Trehalose,3.7348596379552523,15.586051712033834,129.12441681892895
8,Ribose,4.502796393563514,82.12304136687288,235.99232329623214
9,Glycerol ,37.10787797886816,70.70521557891887,215.12447708196578
10,Ethanol,14.756562342610362,235.4193322218918,53.99321297740429
