,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,9.137427777777775,6.853333333333335,6.822
1,Mannitol,21.411435185185184,7.306666666666666,6.655333333333333
2,Xylitol,36.85181253333334,9.546666666666669,6.377666666666667
3,Glucose,18.331999999999997,1.8399999999999999,3.4553333333333325
4,Fructose,1.50133333333333,0.48,4.366666666666666
5,Rhamnose,34.888000000000005,5.066666666666667,3.922
6,Lactose,21.383,1.6266666666666658,6.188666666666667
7,Trehalose,36.31066666666666,3.093333333333333,3.111
8,Ribose,11.85552625570776,3.0666666666666655,8.6
9,Succinate,24.218355555555554,1.946666666666666,3.4333333333333336
10,Ethanol,16.886666666666663,1.786666666666666,2.910999999999999
