,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%],Glu_OG [mM],Tween_OG [%],Glu_Prod [mM],Tween_Prod [%],pH
0,Rhamnose,11.33333333333333,3.6266666666666665,4.9,27.916666666666668,0.7166666666666667,22.5,0.15,6.5
1,Trehalose,24.533333333333328,0.746666666666666,5.733333333333334,8.416666666666666,0.8666666666666667,25.75,0.75,5.75
2,D-Arabinose,6.421315789473681,1.8399999999999999,7.2,2.5,0.3166666666666666,27.666666666666668,0.0833333333333333,5.75
3,Ribose,26.783675799086758,2.08,6.6,19.75,0.75,18.083333333333336,0.7666666666666667,6.5
4,Citrate,32.58536585365854,1.4666666666666661,5.966666666666667,24.25,0.75,21.416666666666664,0.5333333333333333,5.75
5,Trehalose,38.266666666666666,3.1466666666666674,5.066666666666667,17.5,0.6666666666666666,14.583333333333334,0.7833333333333333,6.000000000000001
6,Galactose,9.758666666666665,0.08,5.233333333333333,6.666666666666665,0.2333333333333333,32.916666666666664,0.3666666666666666,5.75
7,D-Arabinose,12.513333333333328,3.9733333333333336,7.533333333333333,5.83333333333333,0.2,17.166666666666668,0.1833333333333333,6.000000000000001
8,Ribose,30.854794520547944,2.0,2.666666666666666,20.833333333333336,0.8333333333333334,30.083333333333336,0.7166666666666667,5.75
9,Xylose,9.385,2.426666666666666,4.033333333333333,2.25,0.2333333333333333,22.08333333333333,0.4,5.75
10,Xylose,18.323095238095235,3.76,7.7,10.83333333333333,0.1833333333333333,21.166666666666664,0.1166666666666666,6.000000000000001
