,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,115.8176126126126,9.738081187622857,11.886249945163726,4.047499966472387
1,Exp1,97.38312132132133,9.673282995387728,10.06562495291233,5.060624980032443
2,Exp2,117.14776096096097,11.79384393172122,9.934374966323375,4.681250030770897
3,Exp3,128.49424624624626,10.409704983909334,12.344374783933162,4.893124938607215
4,Exp4,71.73392672672672,8.858815268536414,8.080000054687261,3.8887500731647013
5,Exp5,88.45762522522523,8.017577275193633,11.031874918043613,3.7112499555945395
6,Exp6,41.26434714714715,7.503981108980653,5.5087501151859755,2.766874941661954
7,Exp7,120.40195735735736,9.809657185946797,12.274375275373458,4.5162499385327095
8,Exp8,82.82545345345345,8.382173828127996,9.88624998986721,3.7393749660253524
9,Exp9,121.5709123123123,10.125988005128558,12.022500016391277,5.4631250879168505
10,Exp10,80.16586306306307,7.788251141122966,10.299374905079603,4.744374935179948
11,"BMGY, BMMY + Cells",30.522267867867868,2.241729516270695,13.69437519147992,3.8881249694526194
