,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,54.28992310325758,5.190293617415239,10.460624654442071,4.166250113993883
1,Exp1,44.694322281621155,5.05722444025245,8.864375107586383,3.832500052303075
2,Exp2,26.970024754430778,3.0096369871474913,8.943124950528144,3.6843749663233756
3,Exp3,53.316198351460244,5.5353735689894705,9.631249957382678,4.222500041723251
4,Exp4,48.92571695678508,5.452739879850257,8.955624975860118,3.7524999088048934
5,Exp5,22.84055776472757,2.8710453514781635,7.303749953061342,3.090624973773956
6,Exp6,54.989907302557086,5.767463999824734,9.533124972730874,3.768749997615814
7,Exp7,50.70006320280199,5.565482937102448,9.077499896883964,3.544999981895089
8,Exp8,47.72864930345246,5.074140980646705,9.3962498909235,3.6587499982118605
9,Exp9,51.00533932004319,5.668998251289533,8.995624907910823,3.8150000354647635
10,Exp10,22.24644484238801,2.0723463075439503,10.221249793320894,3.4868749758601187
11,"BMGY, BMMY + Cells",42.503430068733046,5.382309022032383,7.8918749435245985,3.3675000040233134
