,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,83.57564121,7.209846604,11.59187508,5.815625094
1,Exp1,57.87779549,5.41831792,10.68187514,5.236874983
2,Exp2,53.40023593,6.320957046,8.448125108,5.635833302
3,Exp3,39.19279608,5.478796261,7.153541436,3.750416664
4,Exp4,43.12121175,10.70503339,4.028124918,2.955000006
5,Exp5,87.31377715,9.026234786,9.673333258,5.560625093
6,Exp6,51.7598832,5.704354109,9.07375002,4.666874834
7,Exp7,52.81919528,9.327893178,5.662500017,3.528750033
8,Exp8,67.33691077,7.725999157,8.715624918,4.214375137
9,Exp9,33.63908841,6.875644131,4.892499928,3.065000006
10,Exp10,3.816742584,0.366202214,10.42250003,2.08125007
11,"BMGY, BMMY + Cells",49.67095071,5.522190205,8.994791716,4.012708316
