,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%],Glu_OG [mM],Tween_OG [%],Glu_Prod [mM],Tween_Prod [%],pH
0,Citrate,45.46341463414634,3.9200000000000004,0.8,31.333333333333336,0.6166666666666667,31.916666666666664,0.1166666666666666,6.5
1,Sorbitol,7.503888888888885,0.693333333333333,2.333333333333333,41.0,0.35,16.166666666666664,0.5,6.000000000000001
2,D-Arabinose,15.31236842105263,8.053333333333335,5.4,2.0,0.25,45.0,0.9833333333333332,6.5
3,Ethanol,26.333333333333332,2.186666666666667,3.2666666666666657,20.083333333333332,0.5833333333333334,16.666666666666664,0.1166666666666666,6.5
4,Sucrose,7.591111111111109,9.706666666666667,0.0,26.0,0.5333333333333333,36.0,0.6833333333333333,6.000000000000001
5,Rhamnose,49.33333333333334,5.733333333333334,2.166666666666666,2.25,0.6333333333333333,13.25,0.6166666666666667,6.000000000000001
6,Glucose,2.399999999999995,1.413333333333333,4.8,45.41666666666666,0.2166666666666666,27.250000000000004,0.05,6.5
7,Sucrose,29.991111111111117,4.88,3.833333333333333,4.8333333333333295,0.8,8.58333333333333,0.7166666666666667,5.75
8,Ethanol,18.666666666666664,4.666666666666666,4.033333333333333,16.916666666666664,0.5833333333333334,18.83333333333333,0.2166666666666666,6.5
9,Ethanol,15.666666666666664,3.5733333333333324,5.533333333333334,25.416666666666664,0.5333333333333333,22.58333333333333,0.0333333333333333,6.5
10,Rhamnose,48.8,0.7199999999999999,6.833333333333333,22.166666666666664,0.5833333333333334,18.5,0.0833333333333333,6.5
