,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.9697333333333332,0.48533333333333334,0.9566666666666667
1,1,0.8709907407407407,0.9893333333333334,0.07666666666666666
2,2,0.4107888,0.984,0.7266666666666667
3,3,0.8599999999999999,0.016000000000000004,0.06666666666666667
4,4,0.10542564102564103,0.984,0.9266666666666666
5,8,0.2262008888888889,0.016000000000000004,0.29333333333333333
6,10,0.8373333333333334,0.2826666666666667,0.4633333333333333
7,12,0.38899999999999996,0.9333333333333333,0.17
8,14,0.9684977168949772,0.384,0.0
9,16,0.002711111111111111,0.448,0.10666666666666667
10,18,0.3933333333333333,0.5626666666666668,1.0
