,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,168,182,287
1,Mannitol,863,371,23
2,Xylitol,81,369,218
3,Glucose,215,6,20
4,Mannose,19,369,278
5,Galactose,226,6,88
6,Rhamnose,314,106,139
7,Lactose,389,350,51
8,Ribose,226,144,0
9,Succinate,1,168,32
10,Ethanol,59,211,300
