,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,167.73108537492416,181.98995895480894,286.5316914138398
1,Mannitol,863.4463897202345,370.58688422945505,22.70407750735262
2,Xylitol,80.70972929488417,368.6927200981079,218.3756380982364
3,Glucose,215.21775312116344,5.813439870678838,19.733491168084498
4,Mannose,19.304641446149034,368.64557936205244,277.5939047542196
5,Galactose,225.55757715616824,5.848836168159004,87.72730746284503
6,Rhamnose,314.3500862728259,106.10892184981027,138.64399757247088
7,Lactose,389.45364700278435,350.2140230114779,50.59084380881555
8,Ribose,225.66126521495326,143.5277466820468,0.010231845051976905
9,Succinate,1.0605513426021533,168.0733001042171,31.70768275334941
10,Ethanol,59.22697097329302,211.32035858820475,299.82741508635235
