,0,1,2,3
0,0.0,0.9681810983585899,0.48530655721282384,0.9551056380461326
1,1.0,0.8714412636991254,0.9882316912785469,0.07568025835784206
2,2.0,0.40931670179469526,0.9831805869282879,0.727918793660788
3,3.0,0.8608710124846536,0.015502506321810236,0.065778303893615
4,4.0,0.10711601048581157,0.9830548782988066,0.9253130158473984
5,8.0,0.22575807278030705,0.015596896448424014,0.2924243582094834
6,10.0,0.8382668967275357,0.2829571249328274,0.46214665857490295
7,12.0,0.3894536470027843,0.9339040613639411,0.16863614602938515
8,14.0,0.9670461068686468,0.38274065781879146,3.410615017325635e-05
9,16.0,0.0028752725288325046,0.44819546694457896,0.10569227584449804
10,18.0,0.3948464731552868,0.5635209562352127,0.9994247169545077
