,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Galactose,579.4849023,112.5,45
1,Galactose,719.3605684,11.25,111
2,Xylose,71.6036228,15,42
3,Galactose,919.1829485,180,126
4,Xylose,179.009057,3.75,18
5,Galactose,419.6269982,0,63
6,D-Arabinose,63.77197656,11.25,126
7,Galactose,159.8579041,41.25,81
8,Galactose,209.8134991,7.5,33
9,Galactose,79.92895204,7.5,12
10,D-Arabinose,170.41,17.12,39.93
