,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.028861111111111108,0.056,0.12333333333333334
1,2,0.228216,0.5226666666666667,0.22333333333333333
2,3,0.027999999999999997,0.36533333333333334,0.94
3,4,0.016646153846153845,0.08,0.95
4,5,0.29601599999999995,0.9466666666666667,0.9633333333333334
5,7,0.9921285714285715,0.04266666666666667,0.6533333333333333
6,9,0.1942859649122807,0.808,0.03666666666666667
7,10,0.0,0.021333333333333336,0.8066666666666666
8,12,0.043,0.06400000000000002,0.49333333333333335
9,15,0.9717073170731707,0.09333333333333334,0.17666666666666667
10,17,0.08,0.056,0.023333333333333334
