,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,5,21,37
1,Xylitol,45,196,67
2,Glucose,7,137,282
3,Mannose,3,30,285
4,Pyruvate,126,355,289
5,Xylose,222,16,196
6,D-Arabinose,59,303,11
7,Rhamnose,0,8,242
8,Lactose,43,24,148
9,Citrate,249,35,53
10,Glycerol ,3,21,7
