,Condition,Titer,Specific Productivity,Prod_OD,OG_OD
0,Exp0,14.436666666666667,3.6005557354051083,3.9787500134110445,1.8812500374764203
1,Exp1,24.73442,2.7970137175230727,8.763749894350767,2.875624966472387
2,Exp2,41.09855999999999,5.201422997694641,7.899999987930059,3.7987499932199715
3,Exp3,18.555486666666667,2.8249976397311007,6.566250041723251,1.779999999925494
4,Exp4,21.02172666666667,2.6349521304743124,7.979999945163726,2.576874985024333
5,Exp5,20.740119999999997,2.475895095928466,8.536249861717224,2.1393750297278165
6,Exp6,27.827019999999997,4.405104236944703,6.315624990165233,3.871874973773956
7,Exp7,11.852673333333332,2.5150245398187927,4.685624965131282,2.698749999180436
8,Exp8,23.490620000000003,2.6161306871109957,8.989374895244836,1.388749942779541
9,Exp9,15.964513333333333,3.9703227902571863,4.021249987781047,1.956875013783574
10,Exp10,38.058260000000004,5.364075495002272,7.10312500283122,3.3749999912828206
11,"BMGY, BMMY + Cells",36.93712666666666,4.180992002568525,8.84000006750226,2.8987500319629906
