,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Lactose,11.499999999999995,0.0,9.8
1,Glycerol ,0.0,4.106666666666667,5.9
2,Sorbitol,0.5772222222222201,0.29333333333333306,4.6
3,Galactose,49.043555555555564,9.413333333333336,0.2
4,Ethanol,0.0,5.8933333333333335,5.4
5,Sucrose,1.49333333333333,8.613333333333333,0.1
6,Glycerol ,0.0,0.693333333333333,9.4
7,Galactose,0.50044444444444,0.10666666666666601,0.1
8,Mannitol,0.0,9.813333333333336,0.9
9,Rhamnose,1.5333333333333299,0.0,8.0
10,Lactose,0.499999999999995,0.29333333333333306,5.0
