,CarbonSource,Carbon_conc,Gly,Met,SP,Titer,OD_OG,OD_Prod
0,14.0,49.28196347031964,9.653333333333334,3.233333333333333,2.379210123946679,21.91549929922915,2.508124985396862,9.211250018924474
1,10.0,36.66666666666666,0.4266666666666661,0.833333333333333,4.75090486854399,42.283053608969865,5.208124962300062,8.900000058710575
2,11.0,46.41777777777778,1.333333333333333,6.933333333333334,1.4046299794423482,11.346776454099508,6.214999994238218,8.07812492981553
3,2.0,13.69296,7.813333333333332,2.1,4.426013236465354,52.91298820369072,3.0268749656528238,11.954999991357326
4,2.0,40.57173333333333,6.1866666666666665,4.333333333333333,4.2107773186188,43.12362298528381,3.86187499076128,10.24124994561076
5,9.0,20.41649122807017,3.493333333333334,9.633333333333336,3.462059191841507,33.553844896052325,5.094374992549419,9.691874990214904
6,7.0,10.05535714285714,7.359999999999999,1.033333333333333,7.487803748502951,68.76143716421396,3.146250030621886,9.183124915361404
7,7.0,6.033214285714285,8.4,7.2,1.531426862927655,12.071472202756365,3.231875036507845,7.882499971091747
8,3.0,18.799999999999997,6.933333333333334,0.133333333333333,0.226322823297117,4.94755839757066,3.426874984651804,21.860625126063823
9,17.0,6.4,0.96,5.0,1.0366013948082822,12.534454566690028,6.129375097006559,12.0918750731647
10,11.0,17.173333333333336,1.7599999999999998,2.3666666666666663,3.4593121238949007,31.685137234291048,5.508124918341636,9.15937507212162
11,13.0,33.86666666666667,0.506666666666666,5.966666666666667,0.500422707054555,5.998504438215369,5.226875124474367,11.986875003178913
12,11.0,18.91555555555556,9.12,8.333333333333334,1.636365201211378,10.525919177762203,2.281249963343144,6.432500012814998
13,16.0,11.793333333333331,9.173333333333332,9.233333333333333,1.9294139128216792,13.989456902592853,2.425000021830201,7.250625078231096
14,16.0,42.29333333333333,4.293333333333333,1.666666666666666,4.776211303651023,53.61297302032235,4.333541678860783,11.225000238021211
15,9.0,44.455263157894734,2.853333333333334,3.7666666666666657,9.039202890152684,113.65102721326792,5.60624990299344,12.573124930858611
16,3.0,2.599999999999995,2.186666666666667,3.0,3.12772983507434,31.889160826909595,5.793750096708536,10.195625104606153
17,1.0,25.18101851851852,4.613333333333334,9.033333333333331,1.21150925635845,17.32584442887176,3.944999985372026,14.301041727860769
18,3.0,23.8,4.933333333333333,4.766666666666667,3.617777937013855,37.04152417659425,3.8499999760091295,10.238750089555978
19,1.0,27.048148148148147,8.026666666666667,5.500000000000001,0.3847798571794137,7.377432258818032,2.5849999828636645,19.173124895095825
20,4.0,41.33794871794872,5.786666666666668,6.1,0.1650471869795559,3.038931324456902,3.4500000501424077,18.41249996483326
21,6.0,1.8015999999999948,5.546666666666666,8.166666666666668,1.2357672077856674,9.783414505956552,3.6400000999122857,7.916874994188547
22,13.0,7.866666666666664,3.36,7.433333333333333,2.4363584021188807,22.46627014716188,4.471249921843409,9.221250095069408
23,0.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
24,1.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
25,2.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
26,3.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
27,4.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
28,5.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
29,6.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
30,7.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
31,8.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
32,9.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
33,10.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
34,11.0,0.0,4.0,1.5,5.715517572961312,51.84808047185237,4.105416620125372,9.07145850047469
