,CarbonSource,Carbon_conc,Gly,Met,SP,Titer,OD_OG,OD_Prod
0,14.0,49.28196347031964,9.653333333333334,3.233333333333333,2.209084457789484,25.89200853036625,1.2768750047683717,11.724375092089176
1,10.0,36.66666666666666,0.4266666666666661,0.833333333333333,2.621368960388072,31.13736091794158,4.891875103712081,11.879374921917917
2,11.0,46.41777777777778,1.333333333333333,6.933333333333334,4.5020162219187245,48.315674517076175,5.167500019669532,10.72874981597066
3,2.0,13.69296,7.813333333333332,2.1,4.00791344510318,50.39262883634677,1.5887500221282242,12.645624854266645
4,2.0,40.57173333333333,6.1866666666666665,4.333333333333333,2.316947383056604,26.60850636686756,1.8243750060349704,11.5099997228384
5,9.0,20.41649122807017,3.493333333333334,9.633333333333336,1.8514021679708,20.73707113274609,3.594999990090728,11.199374680072069
6,7.0,10.05535714285714,7.359999999999999,1.033333333333333,3.1823806557216785,41.021277360531606,1.8412500122934576,12.9356249204278
7,7.0,6.033214285714285,8.4,7.2,1.3698149071946322,13.585472987173546,0.7249999992921947,9.940624885857105
8,3.0,18.799999999999997,6.933333333333334,0.133333333333333,0.0652081237041876,1.885077221449544,2.194375029429793,28.89249967098236
9,17.0,6.4,0.96,5.0,1.959297787261911,36.60035821356823,5.307500154376029,18.69749994635582
10,11.0,17.173333333333336,1.7599999999999998,2.3666666666666663,4.133351740735282,48.32386063977747,5.19874998986721,11.65687488079071
11,13.0,33.86666666666667,0.506666666666666,5.966666666666667,0.0512150135552705,0.8287855354659248,5.291874889880418,16.228124775588512
12,11.0,18.91555555555556,9.12,8.333333333333334,2.2757032208053944,18.95547615515376,1.5106250500679017,8.328750074505805
13,16.0,11.793333333333331,9.173333333333332,9.233333333333333,1.3893523108573476,12.31898912069232,2.1281250255554918,8.859999940395355
14,16.0,42.29333333333333,4.293333333333333,1.666666666666666,1.594566488315857,20.26013050533148,2.9843750378489493,12.760625124573709
15,9.0,44.455263157894734,2.853333333333334,3.7666666666666657,1.935310443215629,26.787379369494666,4.249374984428286,13.901875071823596
16,3.0,2.599999999999995,2.186666666666667,3.0,4.042832851801282,55.23001650440427,3.0087499382346863,13.619374760091304
17,1.0,25.18101851851852,4.613333333333334,9.033333333333331,0.0445625063253722,0.7909836346777932,2.703749990686774,17.742500171661376
18,3.0,23.8,4.933333333333333,4.766666666666667,3.5045560046659654,42.17340343069077,2.196249968037009,11.886874862611291
19,1.0,27.048148148148147,8.026666666666667,5.500000000000001,0.0878260576627767,1.7883491886879923,1.2287500050291418,20.38875007688999
20,4.0,41.33794871794872,5.786666666666668,6.1,0.0718000608390962,1.5567122701282647,2.3881249564141034,21.676249892115592
21,6.0,1.8015999999999948,5.546666666666666,8.166666666666668,3.126883190284546,30.387318266110334,2.4337499836832284,9.53249996215105
22,13.0,7.866666666666664,3.36,7.433333333333333,1.099231058774052,11.39855747179725,2.610000033527613,10.653125212192537
23,0.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
24,1.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
25,2.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
26,3.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
27,4.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
28,5.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
29,6.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
30,7.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
31,8.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
32,9.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
33,10.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
34,11.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
35,12.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
36,13.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
37,14.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
38,15.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
39,16.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
40,17.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
41,18.0,0.0,4.0,1.5,3.550020519720693,39.63128239839283,2.7275000201910733,11.161875162869691
42,1.0,10.193518518518516,9.973333333333333,2.966666666666667,0.0,0.0,1.460624995306134,15.181250028908252
43,3.0,15.599999999999994,4.079999999999999,5.233333333333333,0.0,0.0,2.9950000780075787,12.620000072419645
44,4.0,48.82871794871795,0.56,0.766666666666666,0.0,0.0,4.080000004395842,20.936874762773517
45,5.0,23.023466666666664,5.706666666666668,2.6,4.367353795906805,40.46296864111498,2.6081249552220105,9.24937510550022
46,9.0,6.915263157894735,7.306666666666666,1.8,3.376314686579393,38.24981324041812,2.0581250047683715,11.323125005364416
47,10.0,49.73333333333334,1.893333333333333,7.0,5.920471833845445,49.1836299651568,3.5749999309331177,8.28312504723668
