,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Mannitol,20.494059505480493,97.17166764157803,148.59707281222742
1,Xylitol,63.362077426180235,37.13210392781124,1.3851995670951165
2,Mannose,1.6088887364602211,13.788746207933693,117.1304078523659
3,Pyruvate,408.9939530381918,119.19026320441948,288.58119956247117
4,Fructose,7.536932148712756,22.41383958005658,203.71774396262478
5,Galactose,22.075509519158114,82.75316221362995,140.3051620576236
6,Rhamnose,373.00832136344894,105.86997336952693,57.28619158129496
7,Trehalose,1.1826946078161025,30.350962224456797,58.24204067669822
8,Citrate,3.8705000408568297,350.399323920002,109.98282714144085
9,Glycerol ,0.6113687034809026,81.92355455060303,21.884255113571985
10,Ethanol,1.3027142503736369,16.995927622816282,36.193042580241844
