,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Mannitol,20,97,149
1,Fructose,8,22,204
2,Mannose,2,14,117
3,Pyruvate,409,119,289
4,Xylitol,63,37,1
5,Galactose,22,83,140
6,Rhamnose,373,106,57
7,Trehalose,1,30,58
8,Citrate,4,350,110
9,Glycerol ,1,82,22
10,Ethanol,1,17,36
