,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,1,0.020185185185185184,0.2586666666666667,0.49666666666666665
1,6,0.04804266666666666,0.05866666666666667,0.68
2,4,0.011097435897435897,0.037333333333333336,0.39
3,5,0.9608773333333331,0.31733333333333336,0.9633333333333334
4,2,0.3195024,0.09866666666666667,0.0033333333333333335
5,8,0.022019555555555556,0.22133333333333335,0.4666666666666667
6,10,0.9946666666666667,0.2826666666666667,0.19
7,13,0.0026666666666666666,0.08,0.19333333333333333
8,15,0.015609756097560976,0.9333333333333333,0.36666666666666664
9,17,0.02666666666666667,0.2186666666666667,0.07333333333333333
10,18,0.006666666666666667,0.04533333333333334,0.12
