,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,163.33,68,282
1,Glucose,124.66,2,278.33
2,Mannose,4.66,150,58.66
3,Pyruvate,416.33,268,287.66
4,D-Arabinose,186.33,6,298
5,Rhamnose,313.66,8,241.33
6,Sucrose,341.33,46,239
7,Lactose,34.33,24,55.33
8,Citrate,13.66,308,0.66
9,Succinate,22.33,218,0.66
10,Ethanol,120.66,143,240
