,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,0.9427770555555556,0.18133333333333335,0.94
1,3,0.4986399999999999,0.005333333333333334,0.9277666666666666
2,4,0.02585702564102564,0.4,0.1955333333333333
3,5,0.9780979466666665,0.7146666666666667,0.9588666666666668
4,9,0.6135814210526316,0.016000000000000004,0.9933333333333333
5,10,0.8364266666666668,0.021333333333333336,0.8044333333333333
6,11,0.8495324444444445,0.12266666666666669,0.7966666666666666
7,12,0.03432999999999999,0.06400000000000002,0.18443333333333334
8,15,0.05330731707317073,0.8213333333333334,0.0022
9,16,0.060539111111111106,0.5813333333333334,0.0022
10,18,0.8044,0.38133333333333336,0.8
