,0,1,2,3
0,0.0,0.942402559913405,0.18144951307674265,0.9396908603200624
1,3.0,0.49911808448321604,0.0038519248119816187,0.9274146088121618
2,4.0,0.02528875089124662,0.39904975687881966,0.19571089540981507
3,5.0,0.9778573090191683,0.7150072900574148,0.9586312910040463
4,9.0,0.6131040199541397,0.017092248971592366,0.9930497435138268
5,10.0,0.8362517101196659,0.021076442699300257,0.8042610735208343
6,11.0,0.8494972804815607,0.12183120323918221,0.7962683873801164
7,12.0,0.034420305208999843,0.06483775787623584,0.18422317355952592
8,15.0,0.05355997959386519,0.8230370345115938,0.0020594333637740255
9,16.0,0.060723631037874815,0.5830199085006116,0.0006939237337585237
10,18.0,0.8043235041342007,0.38176942059563507,0.7998280430408637
