,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,31.61250306438599,256.9835529714138,204.8193223811345
1,Mannitol,424.2006179125982,274.00207532989396,199.70870705904701
2,Xylitol,145.19426824105716,357.87945395053646,191.45277365383816
3,Glucose,91.54039197612605,68.29126870874265,103.71437025851473
4,Fructose,4.956239894340788,17.356479212105835,130.9467145090711
5,Rhamnose,261.5733454700779,189.63126884964404,117.5415652637411
6,Lactose,427.66652573790054,60.92484774533812,185.69923881386862
7,Trehalose,272.39224957983424,116.02167218778362,93.21016143563742
8,Ribose,55.128070596014354,115.0351969895286,258.10315549325304
9,Succinate,178.62359069480797,72.26048712772113,103.0835010933696
10,Ethanol,50.73258676799563,66.54157391757967,87.28323961549123
