,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,31.66,257,204.66
1,Mannitol,424.3,274,199.66
2,Xylitol,145.33,358,191.33
3,Glucose,91.66,69,103.66
4,Fructose,5,18,131
5,Rhamnose,261.66,190,117.66
6,Lactose,427.66,61,185.66
7,Trehalose,272.33,116,93.33
8,Ribose,55.33,115,258
9,Succinate,178.66,73,103
10,Ethanol,50.66,67,87.33
