,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL],Glu_OG [uL],Tween_OG [uL],Glu_Prod [uL],Tween_Prod [uL],pH
0,Galactose,240,98,297,28,3,262,23,6.00
1,Sucrose,106,164,104,41,50,61,43,5.75
2,Galactose,81,159,169,84,7,299,7,6.00
3,Galactose,361,193,253,8,1,336,18,6.00
4,Xylose,124,363,202,348,21,76,53,6.50
5,Rhamnose,326,46,168,380,35,259,14,6.50
6,Glucose,173,206,160,164,4,519,12,5.75
7,Rhamnose,362,123,128,568,22,207,8,6.00
8,Lactose,27,33,6,375,47,32,49,5.75
9,Succinate,83,200,79,247,27,257,9,6.50
10,Ribose,117,25,140,244,58,307,41,6.5
