,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod,Glu_OG,Tween_OG,Glu_Prod,Tween_Prod,pH
0,8,0.24021333333333333,0.26133333333333336,0.99,0.04666666666666667,0.05,0.43666666666666665,0.38333333333333336,0.9230769230769231
1,11,0.2638222222222223,0.4373333333333334,0.3466666666666667,0.06833333333333333,0.8333333333333334,0.10166666666666667,0.7166666666666667,0.8846153846153846
2,8,0.081072,0.424,0.5633333333333334,0.14,0.11666666666666667,0.49833333333333335,0.11666666666666667,0.9230769230769231
3,8,0.3613208888888889,0.5146666666666667,0.8433333333333334,0.013333333333333334,0.016666666666666666,0.56,0.3,0.9230769230769231
4,7,0.5541619047619047,0.9680000000000001,0.6733333333333333,0.58,0.35,0.12666666666666668,0.8833333333333333,1.0
5,10,0.8693333333333333,0.12266666666666669,0.56,0.6333333333333333,0.5833333333333334,0.43166666666666664,0.23333333333333334,1.0
6,3,0.692,0.5493333333333333,0.5333333333333333,0.2733333333333333,0.06666666666666667,0.865,0.2,0.8846153846153846
7,10,0.9653333333333334,0.328,0.4266666666666667,0.9466666666666667,0.36666666666666664,0.345,0.13333333333333333,0.9230769230769231
8,12,0.026999999999999996,0.08800000000000001,0.02,0.625,0.7833333333333333,0.05333333333333334,0.8166666666666667,0.8846153846153846
9,16,0.22502222222222223,0.5333333333333333,0.2633333333333333,0.4116666666666667,0.45,0.42833333333333334,0.15,1.0
10,14,0.5013904109589041,0.06666666666666667,0.4666666666666667,0.4066666666666667,0.9666666666666667,0.5116666666666667,0.6833333333333333,1.0
