,0,1,2,3,4,5,6,7,8
0,8.0,0.24017076458114772,0.2608558192380165,0.9887576764772404,0.04593641615753746,0.054699223250601246,0.436031774862143,0.38582244966165186,0.9169099327665706
1,11.0,0.26348319493797856,0.43808826371444515,0.34784270307796217,0.0680885680359006,0.8393335763895652,0.10148612253799494,0.7129707004514981,0.889004012224803
2,8.0,0.08095488731612634,0.42376744240433317,0.5624419156688039,0.14069575522552288,0.11352341002998195,0.4975525534423677,0.10958890640966786,0.9345055951136431
3,8.0,0.3614994413646882,0.5155452685926037,0.8449718127424244,0.01267923767778748,0.01063033887472489,0.5592497739909641,0.2953946628542174,0.9182065546803236
4,7.0,0.5548153019342296,0.9687693230645229,0.6743474815571019,0.5798663878003126,0.3499640540012254,0.12610813508435392,0.8868024205759433,0.9646521377163927
5,10.0,0.8680191866744646,0.12247446388673269,0.5595059086570725,0.6339641938910471,0.5752604911723732,0.4320456814260225,0.22657030825882754,0.9997314987647823
6,3.0,0.693174240718126,0.5500961692250539,0.532032381404388,0.2738493056255799,0.06279304210411457,0.8645349971652911,0.19819611157073216,0.9096466592582827
7,10.0,0.9665566007190335,0.3290397678360245,0.4282286957993252,0.9464236635953276,0.3687232938159839,0.34542193977503505,0.1286448210910334,0.9209676776951752
8,12.0,0.027499070525302163,0.08817227015631589,0.01969029244244158,0.6245200647506068,0.7875660633410643,0.052891010885386745,0.821521160020563,0.888853312438269
9,16.0,0.22548387851141077,0.5343525472542672,0.2628163977070378,0.4111432521198247,0.4528710499406823,0.4287568923944768,0.14547402876625587,0.9988292322225646
