,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Mannitol,202,374,89
1,Glucose,78,153,157
2,Mannose,176,21,23
3,Pyruvate,196,214,78
4,D-Arabinose,42,274,54
5,Rhamnose,373,71,210
6,Lactose,967,66,207
7,Trehalose,321,243,216
8,Succinate,274,251,80
9,Glycerol ,16,224,43
10,Ethanol,54,140,121
