,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Mannitol,202.11667734270964,373.8755742498823,89.16017627472091
1,Glucose,78.14835364638029,152.6652038146063,156.55582798477232
2,Mannose,176.14735660685534,21.434384175917163,22.57767091082627
3,Pyruvate,195.58397824107539,213.5664718727313,78.41292513843453
4,D-Arabinose,42.39800762434689,274.09602773161737,53.54460487875245
5,Rhamnose,373.44510389162065,71.47169535598479,209.66811924439037
6,Lactose,966.7572346073164,65.95234761330974,207.3280724866835
7,Trehalose,320.7501391463081,243.1088522995583,215.50966745259626
8,Succinate,274.17772054515376,251.10462022496534,79.80732298409136
9,Glycerol ,16.04394400535685,224.2966560035731,42.548779946923325
10,Ethanol,54.0870162348353,140.13427526896467,121.42976633719019
