,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,0.0005231037432731118,2.007303873155465,0.6969687755258189
1,Mannitol,1.1183131066199499,4.225410024167521,1.231200901379254
2,Xylitol,0.99540875765124,4.030182230635946,0.830238328775431
3,Glucose,1.0692764778229251,4.773578033872911,4.228554291125045
4,Mannose,1.03640837869627,3.5449081749673375,4.821766376491713
5,Pyruvate,0.41071208025206,2.84523666541115,0.09014479872495601
6,Xylose,31.0141110182663,3.34464844987272,0.184411142472634
7,Rhamnose,0.8234369657238351,2.663015117521949,0.988639771944769
8,Sucrose,3.63985590388482,0.362373074012188,0.5951970267473109
9,Trehalose,2.05982047629625,2.854489537311669,1.1643156281404632
10,Ethanol,0.29818166470483,3.4809225372060544,1.447168193075242
