,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod,Glu_OG,Tween_OG,Glu_Prod,Tween_Prod,pH
0,15,0.1404878048780488,0.08800000000000001,0.6,0.395,0.8333333333333334,0.285,0.55,0.8846153846153846
1,13,0.49066666666666664,0.07466666666666667,0.5733333333333334,0.16833333333333333,0.8666666666666667,0.515,0.75,0.8846153846153846
2,14,0.252837899543379,0.08533333333333334,0.52,0.275,0.9,0.42333333333333334,0.75,0.9230769230769231
3,13,0.21333333333333335,0.20800000000000002,0.46,0.32166666666666666,0.5166666666666667,0.24333333333333335,0.6833333333333333,0.8846153846153846
4,15,0.5580487804878049,0.14933333333333335,0.5333333333333333,0.31666666666666665,0.9333333333333333,0.315,0.8166666666666667,0.9230769230769231
5,14,0.19712785388127854,0.016000000000000004,0.31666666666666665,0.24666666666666667,0.6333333333333333,0.17833333333333334,0.9333333333333333,0.8846153846153846
6,13,0.45866666666666667,0.224,0.4533333333333333,0.455,0.9833333333333333,0.3983333333333333,0.95,0.9230769230769231
7,14,0.07713698630136986,0.06933333333333333,0.44666666666666666,0.18166666666666667,0.9833333333333333,0.3383333333333333,0.6166666666666667,0.9230769230769231
8,11,0.7491555555555557,0.4266666666666667,0.05333333333333334,0.07166666666666667,0.9333333333333333,0.16333333333333333,0.6,0.8846153846153846
9,11,0.7392000000000001,0.536,0.6,0.9,0.03333333333333333,0.29833333333333334,0.08333333333333333,0.8846153846153846
10,9,0.7540929824561403,0.5306666666666667,0.6166666666666667,0.935,0.05,0.11333333333333333,0.3,0.8846153846153846
