,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,14.430555555555555,0.32,1.5333333333333328
1,Xylitol,11.917946666666666,0.10666666666666601,1.0
2,Glucose,11.399999999999995,0.16,0.4
3,Galactose,2.40213333333333,0.346666666666666,0.5
4,D-Arabinose,13.665877192982457,0.373333333333333,1.5333333333333328
5,Rhamnose,13.866666666666665,0.32,0.533333333333333
6,Lactose,9.899999999999995,1.12,0.533333333333333
7,Trehalose,15.066666666666665,0.48,2.4666666666666655
8,Citrate,9.365853658536585,0.24,1.266666666666666
9,Succinate,2.44,0.4,2.133333333333333
10,Glycerol ,1.8666666666666658,1.093333333333333,0.36666666666666603
