,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,0.001812486502197502,75.27389524332996,20.90906326577457
1,Mannitol,22.161067066964222,158.45287590628203,36.93602704137762
2,Xylitol,3.925526176456156,151.13183364884793,24.907149863262944
3,Glucose,5.346382389114626,179.00917627023418,126.85662873375136
4,Mannose,3.7356679084246442,132.93405656127518,144.6529912947514
5,Pyruvate,3.4964138500459194,106.69637495291812,2.704343961748694
6,Xylose,138.79516918137287,125.42431687022699,5.532334274179036
7,Rhamnose,6.175777242928784,99.86306690707309,29.659193158343086
8,Sucrose,29.24884208478874,13.588990275457055,17.855910802419356
9,Trehalose,15.448653572221897,107.0433576491876,34.92946884421389
10,Ethanol,0.8945449941144932,130.53459514522703,43.41504579225726
