,Carbon_Type,Conc_Carbon,Gly_OG,Met_Prod
0,0,1.0462074865462236e-05,0.20073038731554657,0.0696968775525819
1,1,0.02236626213239908,0.4225410024167521,0.12312009013792541
2,2,0.019908175153024846,0.4030182230635945,0.08302383287754314
3,3,0.0213855295564585,0.47735780338729117,0.42285542911250457
4,4,0.02072816757392546,0.35449081749673383,0.4821766376491713
5,5,0.008214241605041212,0.284523666541115,0.009014479872495648
6,7,0.620282220365326,0.334464844987272,0.01844111424726345
7,10,0.016468739314476757,0.2663015117521949,0.09886397719447695
8,11,0.07279711807769644,0.03623730740121882,0.05951970267473119
9,13,0.04119640952592506,0.2854489537311669,0.1164315628140463
10,18,0.0059636332940966215,0.3480922537206054,0.1447168193075242
