,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Sorbitol,7,150,18
1,Mannose,0,165,51
2,Pyruvate,13,146,81
3,D-Arabinose,9,165,12
4,Rhamnose,0,124,96
5,Sucrose,44,8,78
6,Lactose,910,45,288
7,Trehalose,26,143,27
8,Ribose,21,143,6
9,Citrate,0,120,12
10,Ethanol,11,161,6
