,Carbon_Type,Conc_Carbon [g/L],Gly_OG [%],Met_Prod [%]
0,Sorbitol,5.77222222222222,4.16,7.833333333333333
1,Xylitol,15.97512,8.426666666666666,4.866666666666667
2,Pyruvate,10.571999999999996,3.1466666666666674,0.833333333333333
3,Xylose,16.75892857142857,6.053333333333334,4.066666666666666
4,Galactose,48.84337777777778,0.8799999999999999,5.3
5,Rhamnose,48.0,1.973333333333333,9.766666666666667
6,Lactose,27.999999999999996,0.266666666666666,8.8
7,Trehalose,0.53333333333333,0.4266666666666661,4.3
8,Ribose,1.07134703196347,2.186666666666667,7.866666666666666
9,Glycerol ,9.866666666666667,1.893333333333333,7.166666666666667
10,Ethanol,5.0,6.266666666666667,1.8
